Título,Precio,Metros cuadrados,Habitaciones,Garaje
"Piso en calle los Huertos, s/n, Centro, Castro-Urdiales",190.000€,95 m²,3 hab.,No
"Piso en calle Arturo Dúo Vital, s/n, Centro, Castro-Urdiales",175.000€,55 m²,2 hab.,No
"Piso en calle la Mar, Centro, Castro-Urdiales",260.000€,105 m²,3 hab.,No
"Piso en Centro, Castro-Urdiales",330.000€,117 m²,3 hab.,No
"Piso en calle Leonardo Rucabado, Centro, Castro-Urdiales",257.000€,115 m²,3 hab.,No
"Piso en paseo Ocharan Mazas, Centro, Castro-Urdiales",483.000€,128 m²,4 hab.,Si
"Piso en Centro, Castro-Urdiales",211.000€,150 m²,4 hab.,No
"Piso en calle de la Ronda, Centro, Castro-Urdiales",267.000€,84 m²,2 hab.,Si
"Chalet adosado en aureliano linares rivas, Centro, Castro-Urdiales",640.000€,370 m²,5 hab.,Si
"Piso en calle Los Caserios, 8, Centro, Castro-Urdiales",280.000€,80 m²,2 hab.,Si
"Piso en Republica Argentina, 2, Centro, Castro-Urdiales",350.000€,140 m²,4 hab.,No
"Piso en calle Siglo XX, Centro, Castro-Urdiales",177.000€,102 m²,2 hab.,No
"Piso en San Juan, 1, Centro, Castro-Urdiales",175.000€,80 m²,3 hab.,No
"Ático en Centro, Castro-Urdiales",179.000€,48 m²,1 hab.,Si
"Piso en calle Iglesia Nueva, Centro, Castro-Urdiales",240.000€,120 m²,4 hab.,No
"Piso en calle Nuestra Señora, Centro, Castro-Urdiales",75.000€,44 m²,2 hab.,No
"Piso en calle Los Caserios, Centro, Castro-Urdiales",280.000€,65 m²,2 hab.,Si
"Piso en avenida de la Libertad, 10, Centro, Castro-Urdiales",250.000€,50 m²,2 hab.,No
"Piso en El Aranzal, s/n, Centro, Castro-Urdiales",240.000€,90 m²,3 hab.,No
"Piso en calle la Rúa, Centro, Castro-Urdiales",177.000€,109 m²,4 hab.,No
"Piso en calle la Plazuela, 14, Centro, Castro-Urdiales",459.000€,120 m²,2 hab.,No
"Piso en Centro, Castro-Urdiales",380.000€,133 m²,4 hab.,No
"Piso en calle Arturo Dúo Vital, Centro, Castro-Urdiales",175.000€,51 m²,2 hab.,No
"Piso en calle República Argentina, Centro, Castro-Urdiales",380.000€,140 m²,4 hab.,No
"Piso en calle de Aranzal, Centro, Castro-Urdiales",240.000€,90 m²,3 hab.,No
"Piso en Centro, Castro-Urdiales",195.000€,78 m²,3 hab.,No
"Piso en calle Venancio Bosco, Centro, Castro-Urdiales",239.000€,110 m²,3 hab.,No
"Chalet adosado en calle Aureliano Linares Rivas, Centro, Castro-Urdiales",640.000€,350 m²,4 hab.,Si
"Piso en calle de Aranzal, Centro, Castro-Urdiales",240.000€,93 m²,3 hab.,No
"Piso en calle Los Caserios, 8, Centro, Castro-Urdiales",280.000€,65 m²,2 hab.,Si
"Piso en ronda Espinos, 2, Centro, Castro-Urdiales",230.000€,80 m²,2 hab.,Si
"Piso en calle de la Ronda, 38, Centro, Castro-Urdiales",267.000€,84 m²,2 hab.,Si
"Piso en calle San Juan, 1, Centro, Castro-Urdiales",175.000€,80 m²,3 hab.,No
